broker_number,total_purch_amount,total_purch(%),total_sell_amount,total_sell(%),matching_summary,matching(%),total_turn_over(%),turn_over_vs_market,Buy/Sell_Ratio
34,38504770.00000001,62.83311930672527,22776239.799999997,37.16688069327473,6755007.9,11.023003573286418,61281009.800000004,8.45290307968178,1.6905674658377987
45,38063757.95,58.916941854331164,26542035.819999997,41.08305814566884,959650.4,1.4853937147129646,64605793.769999996,8.911512961454479,1.4340933833462066
58,37179245.8,38.97609180674021,58210630.59999999,61.0239081932598,2816940.2,2.953080878507146,95389876.39999998,13.157769146160907,0.6387019933778214
44,32414519.500000004,55.26607993287347,26237224.100000005,44.73392006712653,3399344,5.795810646625004,58651743.60000001,8.09023065584579,1.2354401279821365
17,28720108.70000001,60.41694785404359,18816401.69999999,39.5830521459564,882251,1.8559439735399677,47536510.400000006,6.557031557882145,1.5263337357428983
49,27369990.20000001,49.26984014906781,28181215.400000002,50.730159850932196,901884.9,1.6235199403125102,55551205.60000001,7.662552533464876,0.9712139739721803
32,26519572.5,69.86819902637727,11436998.4,30.13180097362273,342169,0.9014750065317413,37956570.9,5.235605876957495,2.3187528381572564
42,23570690.299999997,55.79066588995646,18677757.400000002,44.20933411004353,668867.1,1.5831755636314182,42248447.7,5.827613396721551,1.2619657593368245
57,20968630.799999997,37.40353592201872,35091926.80000001,62.59646407798128,1460441.4,2.6051139384314643,56060557.60000001,7.7328108908825115,0.597534325188436
6,20097202.800000004,62.24357050567212,12190795.2,37.75642949432789,164711.8,0.5101332080112244,32287998.000000004,4.453701377012218,1.648555526550065
35,19868492.2,21.296584850615332,73425772.3,78.70341514938465,4875007.1,5.225409221163858,93294264.5,12.868707259923392,0.2705928937161482
50,19408856.100000005,68.44516481260499,8947940.399999999,31.554835187395014,256808,0.9056312126089419,28356796.500000004,3.9114442344708156,2.169086430213595
14,17923255.900000002,56.83195506072576,13614029.560000002,43.16804493927424,515842,1.6356575795157227,31537285.460000005,4.350150532108847,1.3165283519481354
38,17907356.500000007,44.35450560827248,22465895.900000002,55.645494391727524,452547.49999999994,1.1209091987842918,40373252.400000006,5.568955059039022,0.7970906915846613
48,16516222.2,52.49125663350285,14948488.800000003,47.508743366497164,331205,1.0526236837198344,31464711,4.3401398472581505,1.104875711583635
36,16220440.400000002,59.94489587560491,10838477.899999999,40.05510412439509,464177.8,1.7154336875321432,27058918.3,3.732419138937356,1.4965607301741146
28,16153741.699999997,60.476590483014334,10556993.1,39.52340951698566,96892.5,0.36274741494569446,26710734.799999997,3.684391839957626,1.5301460886623104
43,15934998.9,55.26925532083592,12896579.9,44.73074467916408,203048,0.704255571325147,28831578.8,3.9769341599623567,1.2355988194978733
4,15788092.999999996,53.55687395782153,13691022.999999998,46.44312604217847,194275.6,0.6590279030076752,29479115.999999993,4.066253334204953,1.1531711691668327
41,15285378.200000001,50.49871478450068,14983467.780000005,49.50128521549933,784458.9,2.591637951834462,30268845.980000004,4.1751861178168035,1.0201495691406623
29,14870438.7,48.572646533455504,15744402.700000001,51.4273534665445,76167,0.2487910977712921,30614841.4,4.222911600161479,0.9444904950252574
39,14835962.100000003,60.215737351725316,9802052.4,39.78426264827468,135524.5,0.5500625872267425,24638014.500000004,3.3984875465334516,1.5135567016556657
26,14280211.599999998,73.73880486091598,5085726.9,26.26119513908402,110960,0.5729647442596185,19365938.5,2.6712745387491634,2.8078998107428843
52,13932568.400000002,69.37030568666171,6151772.1,30.62969431333829,52807,0.2629262335001739,20084340.5,2.7703685729053946,2.264805680951673
7,13704182.900000002,45.71363273782014,16274145.400000002,54.28636726217986,790869.5000000001,2.638137430765277,29978328.300000004,4.135113054399791,0.842083105635765
59,13577947.7,61.93238073654705,8345878.8,38.06761926345293,512074,2.3356962800266645,21923826.5,3.024101285946157,1.6269044908727885
1,12193711.100000003,34.3512291992907,23303449.8,65.6487708007093,84904.1,0.2391856076579916,35497160.900000006,4.896362864627106,0.5232577667534875
25,11712067.1,61.94314944261179,7195701.079999999,38.0568505573882,75140,0.397402799128247,18907768.18,2.6080760157224296,1.6276478094056683
53,11561293.899999999,56.39484973432584,8939326.2,43.60515026567416,32435,0.15821472639259337,20500620.099999998,2.827788826330277,1.2933070839276455
51,10675609.200000001,61.24866128393851,6754337.799999998,38.75133871606149,19646,0.11271405472432017,17429947,2.4042301710731637,1.5805560095025162
13,10527727.600000001,41.766900332627145,14678183.1,58.233099667372855,180642.1,0.7166656350964538,25205910.700000003,3.4768213003927033,0.7172364268980949
33,9800547.8,33.73216764736372,19253463.500000004,66.26783235263628,38527.3,0.13260578583171406,29054011.300000004,4.007615775203484,0.509027780897707
22,9617360.100000001,55.33076290705402,7764218.599999999,44.66923709294599,19230,0.11063436947761254,17381578.7,2.3975584051645513,1.2386771413159339
16,9134125.5,41.07312141401761,13104567.799999999,58.92687858598239,62983.8,0.28321717985112016,22238693.299999997,3.0675329877424535,0.6970184472623355
21,9129907.399999999,42.55105968057308,12326449.899999999,57.44894031942691,158628.5,0.739307692270766,21456357.299999997,2.9596201056713434,0.7406761455299469
55,8586460.5,44.1331878579444,10869329.84,55.8668121420556,387203,1.9901684446297339,19455790.34,2.6836684091754153,0.7899714726110474
56,7985060.799999999,34.98636906826128,14838287.299999999,65.01363093173872,227427.6,0.9964690500426624,22823348.099999998,3.148178368352202,0.5381389805008021
19,7681121.6000000015,50.21474389800825,7615424.800000001,49.785256101991756,111545.6,0.7292208128757743,15296546.400000002,2.109955834524373,1.0086268070035962
47,7538585.200000001,38.43690551574359,12074297.519999998,61.56309448425641,38114.520000000004,0.1943341044972098,19612882.72,2.7053372208844637,0.6243497965420354
8,6780773.500000001,64.75070280397956,3691349.8999999994,35.24929719602043,0,0.0,10472123.4,1.4444906248700171,1.836935994607285
40,6312325.800000001,52.88578306887213,5623444.9,47.11421693112787,62709,0.5253871038256457,11935770.700000001,1.6463813706347505,1.122501582615311
46,5889605.6,63.801755775071165,3341497.1,36.19824422492884,9568.7,0.10365717196494847,9231102.7,1.2733082678687975,1.7625649293545698
5,5451018.6,51.991066990399524,5033510.600000001,48.00893300960048,318618.6,3.038940460960326,10484529.2,1.4462018405527899,1.0829456880452382
10,5163702.35,57.5516121797265,3808596.0000000005,42.4483878202735,11805.75,0.13157999811720483,8972298.35,1.2376096379948809,1.3558020724697497
54,4883001.699999999,37.18320244274441,8249276.800000001,62.81679755725559,42860,0.32637139092047124,13132278.5,1.8114237630576517,0.59193088295934
3,4496854.4,38.2696704794688,7253584.899999999,61.73032952053119,11250,0.09574110135609994,11750439.3,1.6208173603983893,0.6199492336541068
11,3261890.5,35.23039692554245,5996848.5,64.76960307445755,27040,0.2920484096160395,9258739,1.2771203291605977,0.5439341180621788
18,3017612.6999999997,50.36759039463915,2973566.7,49.63240960536084,0,0.0,5991179.4,0.8264037907741208,1.0148125145469242
37,2260702.9,57.27851035018846,1686157.5999999999,42.72148964981154,0,0.0,3946860.5,0.5444170940460641,1.3407423481648453
20,1692279.5,38.871544676230194,2661238,61.128455323769806,2012,0.0462155027515107,4353517.5,0.6005100373394716,0.6358993445907506
